gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4967690479	8e52f35a-2522-4865-8361-5c249310a7cf	BG22_UrbBB_29062023_ALBO_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	5	3b5161b7-9831-4444-9822-a60df4df107d	43.613	3.874	100.0						2023-06-28T08:22/2023-06-29T08:22		6	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690478	8e52f35a-2522-4865-8361-5c249310a7cf	BG03_PaJdP_27042023_CUHOR_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex hortensis		SPECIES	Culex hortensis Ficalbi, 1889	Culex hortensis Ficalbi, 1889		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.614	3.871	100.0						2023-04-26T10:00/2023-04-27T10:00		4	2023	1653124	1653124	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.343Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690477	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_23082023_CULAN_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-08-22T08:07/2023-08-23T08:07		8	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690476	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_29062023_ALBO_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	20	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-06-28T08:00/2023-06-29T08:00		6	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.341Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690475	8e52f35a-2522-4865-8361-5c249310a7cf	BG16_ZPAig_20092023_CULLA_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta longiareolata		SPECIES	Culiseta longiareolata (Macquart, 1838)	Culiseta longiareolata (Macquart, 1838)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.6	3.89	100.0						2023-09-19T11:15/2023-09-20T11:15		9	2023	1649571	1649571	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690474	8e52f35a-2522-4865-8361-5c249310a7cf	BG22_UrbBB_29062023_ALBO_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	1	3b5161b7-9831-4444-9822-a60df4df107d	43.613	3.874	100.0						2023-06-28T08:22/2023-06-29T08:22		6	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.341Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690473	8e52f35a-2522-4865-8361-5c249310a7cf	BG12_ZPLSou_04052023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.626	3.845	100.0						2023-05-03T13:24/2023-05-04T13:24		5	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.344Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690472	8e52f35a-2522-4865-8361-5c249310a7cf	BG15_ZPAig_21092023_ALBO_M	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.6	3.891	100.0						2023-09-20T11:07/2023-09-21T11:07		9	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.341Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690471	8e52f35a-2522-4865-8361-5c249310a7cf	BG13_ZPLSou_23082023_ALBO_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus		SPECIES	Aedes albopictus (Skuse, 1894)	Aedes albopictus (Skuse, 1895)		FR		Occitanie	PRESENT	1	3b5161b7-9831-4444-9822-a60df4df107d	43.626	3.845	100.0						2023-08-22T11:55/2023-08-23T11:55		8	2023	1651430	1651430	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4967690470	8e52f35a-2522-4865-8361-5c249310a7cf	BG21_UrbStC_23082023_CULAN_F	Animalia	Arthropoda	Insecta	Diptera	Culicidae	Culiseta	Culiseta annulata		SPECIES	Culiseta annulata (Schrank, 1776)	Culiseta annulata (Schrank, 1776)		FR		Occitanie	ABSENT	0	3b5161b7-9831-4444-9822-a60df4df107d	43.617	3.873	100.0						2023-08-22T08:07/2023-08-23T08:07		8	2023	1649565	1649565	HUMAN_OBSERVATION	Université de Montpellier | Institut de Recherche pour le Développement				Colombine Bartholomée;Coralie Grail		CC_BY_NC_4_0		Colombine Bartholomée;Coralie Grail;Mathilde Mercat			2025-11-25T05:13:12.342Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
